山西移动,#genre#
CCTV6,http://annaxi.lw-home.com:11111/udp/239.253.254.193:8000
CCTV7,http://annaxi.lw-home.com:11111/udp/239.253.254.233:8000
CCTV8,http://annaxi.lw-home.com:11111/udp/239.253.254.194:8000
CCTV9,http://annaxi.lw-home.com:11111/udp/239.253.254.79:8000
CCTV10,http://annaxi.lw-home.com:11111/udp/239.253.254.234:8000
CCTV11,http://annaxi.lw-home.com:11111/udp/239.253.254.169:8000
CCTV12,http://annaxi.lw-home.com:11111/udp/239.253.254.235:8000
CCTV13,http://annaxi.lw-home.com:11111/udp/239.253.254.175:8000
CCTV14,http://annaxi.lw-home.com:11111/udp/239.253.254.236:8000
CCTV15,http://annaxi.lw-home.com:11111/udp/239.253.254.170:8000
CCTV17,http://annaxi.lw-home.com:11111/udp/239.253.254.168:8000
CETV1,http://annaxi.lw-home.com:11111/udp/239.253.254.110:8000
CETV4,http://annaxi.lw-home.com:11111/udp/239.253.254.116:8000
CGTN,http://annaxi.lw-home.com:11111/udp/239.253.254.189:8000
CHC动作电影,http://annaxi.lw-home.com:11111/udp/239.253.254.153:8000
CHC高清电影,http://annaxi.lw-home.com:11111/udp/239.253.254.154:8000
CHC家庭影院,http://annaxi.lw-home.com:11111/udp/239.253.254.152:8000
安徽卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.87:8000
北京卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.85:8000
茶频道,http://annaxi.lw-home.com:11111/udp/239.253.254.143:8000
东方财经,http://annaxi.lw-home.com:11111/udp/239.253.254.94:8000
东方卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.86:8000
东南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.105:8000
动漫秀场,http://annaxi.lw-home.com:11111/udp/239.253.254.115:8000
都市剧场,http://annaxi.lw-home.com:11111/udp/239.253.254.98:8000
法治天地,http://annaxi.lw-home.com:11111/udp/239.253.254.96:8000
甘肃卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.74:8000
广东卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.90:8000
广西卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.197:8000
贵州卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.113:8000
海南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.179:8000
海洋,http://annaxi.lw-home.com:11111/udp/239.253.254.67:8000
河北卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.112:8000
河南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.190:8000
