央视,#genre#
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
山东教育电视台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8


卫视3,#genre#
北京卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010143/1.m3u8?
天津卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010069/1.m3u8?
东方卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010054/1.m3u8?
东南卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010096/1.m3u8?
海南卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010083/1.m3u8?
广东卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010055/1.m3u8?
广西卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010099/1.m3u8?
深圳卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010068/1.m3u8?
江苏卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010059/1.m3u8?
江西卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010060/1.m3u8?
浙江卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010070/1.m3u8?
湖北卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010057/1.m3u8?
湖南卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010058/1.m3u8?
安徽卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010041/1.m3u8?
山东卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010066/1.m3u8?
山西卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010114/1.m3u8?
教育卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010112/1.m3u8?
河北卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010101/1.m3u8?
河南卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010071/1.m3u8?
龙江卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010056/1.m3u8?
吉林卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010075/1.m3u8?
辽宁卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010061/1.m3u8?
云南卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010119/1.m3u8?
贵州卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010100/1.m3u8?
四川卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010115/1.m3u8?
重庆卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010053/1.m3u8?
陕西卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010113/1.m3u8?
甘肃卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010098/1.m3u8?
宁夏卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010110/1.m3u8?
青海卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010111/1.m3u8?
内蒙卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010109/1.m3u8?
西藏卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010123/1.m3u8?
新疆卫视,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010116/1.m3u8?

数字,#genre#
NewTV动作电影,http://[2409:8087:74d8:21::0a]/270000001128/9900000106/index.m3u8?
NewTV黑莓电影,http://[2409:8087:74d8:21::0a]/270000001128/9900000095/index.m3u8?
NewTV超级电影,http://[2409:8087:74d8:21::0a]/270000001128/9900000021/index.m3u8?
NewTV超级电视剧,http://[2409:8087:74d8:21::0a]/270000001128/9900000022/index.m3u8?
NewTV军旅剧场,http://[2409:8087:74d8:21::0a]/270000001128/9900000107/index.m3u8?
NewTV东北热剧,http://[2409:8087:74d8:21::0a]/270000001128/9900000092/index.m3u8?
NewTV古装剧场,http://[2409:8087:74d8:21::0a]/270000001128/9900000105/index.m3u8?
NewTV家庭剧场,http://[2409:8087:74d8:21::0a]/270000001128/9900000108/index.m3u8?
NewTV明星大片,http://[2409:8087:74d8:21::0a]/270000001128/9900000116/index.m3u8?
NewTV精品大剧,http://[2409:8087:74d8:21::0a]/270000001128/9900000100/index.m3u8?
NewTV爱情喜剧,http://[2409:8087:74d8:21::0a]/270000001128/9900000104/index.m3u8?
NewTV海外剧场,http://[2409:8087:74d8:21::0a]/270000001128/9900000115/index.m3u8?
NewTV欢乐剧场,http://[2409:8087:74d8:21::0a]/270000001128/9900000091/index.m3u8?
NewTV中国功夫,http://[2409:8087:74d8:21::0a]/270000001128/9900000101/index.m3u8?
NewTV潮妈辣婆,http://[2409:8087:74d8:21::0a]/270000001128/9900000099/index.m3u8?
NewTV惊悚悬疑,http://[2409:8087:74d8:21::0a]/270000001128/9900000113/index.m3u8?
NewTV超级综艺,http://[2409:8087:74d8:21::0a]/270000001128/9900000019/index.m3u8?
NewTV金牌综艺,http://[2409:8087:74d8:21::0a]/270000001128/9900000112/index.m3u8?
NewTV精品纪录,http://[2409:8087:74d8:21::0a]/270000001128/9900000109/index.m3u8?
NewTV军事评论,http://[2409:8087:74d8:21::0a]/270000001128/9900000110/index.m3u8?
NewTV超级体育,http://[2409:8087:74d8:21::0a]/270000001128/9900000020/index.m3u8?
NewTV精品体育,http://[2409:8087:74d8:21::0a]/270000001128/9900000102/index.m3u8?
NewTV哒啵电竞,http://[2409:8087:74d8:21::0a]/270000001128/9900000121/index.m3u8?
NewTV哒啵赛事,http://[2409:8087:74d8:21::0a]/270000001128/9900000097/index.m3u8?


数字2,#genre#
NewTV超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTV超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTV明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTV海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
NewTV家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8


数字3,#genre#
NewTv超级电影,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010064/1.m3u8? 
NewTv动作电影,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010003/1.m3u8? 
NewTv黑莓电影,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010073/1.m3u8? 
NewTv超级电视剧,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010065/1.m3u8? 
NewTv东北热剧,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010021/1.m3u8? 
NewTv古装剧场,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010004/1.m3u8? 
NewTv军旅剧场,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010079/1.m3u8? 
NewTv惊悚悬疑,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010077/1.m3u8? 
NewTv精品大剧,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010072/1.m3u8? 
NewTv明星大片,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010084/1.m3u8?
NewTv海外剧场,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010121/1.m3u8?
NewTv中国功夫,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010087/1.m3u8? 
NewTv潮妈辣婆,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010005/1.m3u8? 
NewTv欢乐剧场,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010025/1.m3u8? 
NewTv家庭剧场,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010074/1.m3u8? 
NewTv爱情喜剧,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010000/1.m3u8? 
NewTv超级综艺,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010062/1.m3u8? 
NewTv金牌综艺,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010086/1.m3u8? 
NewTv精品纪录,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010076/1.m3u8? 
NewTv军事评论,http://[2409:8087:5e08:25::15]:6610/200000001898/460000089800010080/1.m3u8? 


咪咕,#genre#
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
